#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
Embelin	C10342	54.49162269	55.58270606	54.88877826	53.55875906	57.58198314	60.25356111	160.4326905	182.6073698	168.8448273	204.3398417	179.6737079	183.1787962	730.5796434	996.8608302	766.5862335	701.8429584	670.2677789	686.1067961
5-O-Methylembelin	C10373	23.41492165	22.8400097	27.51288509	22.92722345	23.79587697	23.04970377	36.49202687	36.32417953	34.83926714	35.70139247	34.02965336	23.05019506	180.5632156	259.4020493	242.1917104	289.137887	1793.787457	148.0655169
Ethyl trans-p-methoxycinnamate	C10476	1126.092594	1078.917031	1082.334501	1014.090861	1139.577755	1126.351061	685.356417	732.0191652	769.7920868	888.7559563	782.4460547	720.7458962	6561.281529	5854.755756	5479.530892	5016.364524	5498.435385	5591.820984
Prenyl cis-caffeate	C10487	106.3589864	117.3468563	98.34210455	77.50170687	94.13635097	98.6909342	66.55361659	65.24845396	71.77506857	59.11763733	88.46488533	81.70429522	78.80799977	106.2119851	146.2310903	98.64260498	58.67765268	97.60443016
Cubebin	C10549	92.86707283	87.96481802	113.4227187	84.71125292	93.66211434	73.87244827	0	0	0	0	0	0	0	0	0	0	0	0
(E)-Casimiroedine	C10577	68.91359984	62.46211423	72.59198984	68.38642136	60.11251064	75.36861403	453.1348084	963.7361219	810.8947176	1063.479275	950.8979424	845.7219695	0	0	0	0	0	0
Graveoline	C10689	24.94170583	19.31281958	39.60482091	23.43775648	19.68159483	32.63149961	524.0644549	542.9805026	868.1338937	758.3270797	781.0563158	819.7891747	0	0	0	0	0	0
Rutacridone epoxide	C10739	50.8058725	61.57472355	69.96963805	68.63450267	63.704542	61.84232771	15.58788144	19.37441306	28.76367112	31.43857306	24.28080156	45.7647537	9.264145733	4.270806419	3.88079324	7.769651809	0	6.8276577
P-Anisaldehyde	C10761	9.265634822	12.44526645	11.61907165	15.53500285	10.02345926	9.073641334	0	0	0	0	0	0	0	0	0	0	0	0
Cannabidiolic acid	C10784	212.0051154	443.2152153	402.0675702	434.9502467	256.6184324	495.8181896	803.840429	563.2973003	879.9500735	972.0018706	831.8260974	1032.073323	730.6876045	773.6138576	800.6064924	581.4297462	912.726885	699.3003572
Peimine	C10830	109.2356729	115.9223961	117.2863706	105.7509479	122.1181253	119.2702792	430.0713926	470.6525036	449.8478969	507.7255481	387.1007266	451.2505829	1670.004593	1695.115892	1749.743033	1726.854252	1694.502039	1379.38039
Sesamol	C10832	507.0168189	495.2547623	596.3193922	576.8938648	551.6178926	546.4347493	369.0785651	416.4476623	426.2302783	403.7775115	534.5227095	437.1322268	194.6710694	163.0493479	160.1786908	148.9023681	157.6030741	168.5556951
Sesartemin	C10884	662.1990493	600.9438594	603.1421731	696.1110333	634.6003526	641.7885366	88.99535749	61.55767186	108.3046539	151.3318468	124.8680858	79.7278279	26.70543432	61.76324059	27.53568349	24.73853932	0.360229971	59.48925849
Mepanipyrim	C10919	81.06016203	88.65228273	86.36143298	89.30119313	87.17127252	90.86447455	0	0	0	0	0	0	0	0	0	0	0	0
Tetradecanedioic acid	C11002	131.2412202	127.639794	138.122847	121.7279519	126.8017841	140.0515076	583.8843814	624.5758244	680.4076347	644.4792756	550.3384861	612.6231014	1635.697425	1749.399629	1746.865449	1765.202767	1840.448631	2025.518007
Molinate	C11086	1062.213835	1311.474358	1085.231127	1236.105584	1446.107153	1233.730868	84.49661191	120.0950757	80.02536084	106.5965116	90.05807852	105.4844548	8.635459523	12.57496691	7.295093476	6.686472398	8.351070799	15.17121962
2-Methoxy-estradiol-17b 3-glucuronide	C11131	69.5077607	79.39472869	93.82583859	87.9135829	90.77776519	80.31059506	0	0	0	0	0	0	14.72429451	0	0	15.53243582	0	0
Geldanamycin	C11222	37.75343291	32.11576531	15.87853994	28.75280558	29.78785448	37.87922259	3.442776787	6.765551403	8.890194695	15.14074141	13.27622341	7.613015979	47.82055587	105.7297031	60.6169467	21.96234803	15.50151518	48.56339667
Dimethyl Phthalate	C11233	1.428196533	0.721264426	0.662539073	2.389650921	0.777942136	1.60423141	0.253610009	1.361637813	0.334131315	0.001403191	0.126424466	0.0383357	3.329562585	0.197728318	0.346633958	1.002431293	2.40240835	1.95142905
Etoposide glucuronide	C11245	1042.124204	1174.186115	1059.441292	1177.654085	874.3565087	992.2138001	1067.920205	963.0131492	1229.214058	1502.700091	1624.704728	1715.482486	0	0	0	0	0	0
Azacitidine	C11262	41.64571812	49.97299361	58.86954558	53.06780715	46.90798204	48.87719089	0.256197741	1.290116638	33.24648386	17.42712593	27.62762982	29.02359753	0	0	0	0	0	0
Tridemorph	C11285	21.67288959	16.22109489	15.39457447	16.836633	17.85507061	16.30786014	157.0805032	145.1516591	70.49426196	106.7809421	77.7621208	89.94440098	222.157707	263.0664208	236.8681246	278.4449867	558.6851671	287.9472274
Virginiamycin m1	C11299	85.95261649	77.83767391	87.17498311	79.95019	66.96300496	62.29800948	0	0	0	0	0	0	0	0	0	0	0	0
Leucyl-leucine	C11332	1250.465042	1339.150631	1209.831394	1191.936252	1221.573359	1319.110425	6452.693332	7284.525394	6145.587682	6814.410126	6380.482939	6878.663532	30597.64899	29908.45393	26970.22822	29139.33848	29343.64995	28968.30889
(S)-Carvone	C11383	0	0.457770238	1.252153496	0.826694801	0.157850639	0	8.025024738	13.44137347	5.306750039	10.83905174	8.851007027	12.21602439	129.9485721	185.7668988	166.8479946	201.1985498	187.8502385	158.3510507
D-(+)-dihydrocarvone	C11398	63.08179123	31.8112808	35.87631121	58.4059206	56.95514586	55.95168886	138.5231448	185.8548567	84.79908295	168.1826548	134.7392126	114.0354247	509.1189906	962.0935799	846.8960793	956.7911725	524.2180833	505.973351
Cis-Dihydrocarvone	C11412	13.61404496	15.48442195	15.35812602	13.94110503	9.674395644	20.46329642	3.307704445	1.865137065	1.406559301	1.079443797	15.75859656	3.295055998	3.424913437	12.34732501	29.77602505	10.07832142	15.77527716	11.51885152
"(1S,4S)-Dihydrocarvone"	C11415	15.5603465	14.42797344	4.941776565	34.39146426	2.263354229	42.77806664	6.918365892	0	48.36222856	12.13122462	13.86873439	51.52809164	31.2709047	0	86.93807816	32.84398451	32.94062002	499.4999642
Mupirocin	C11758	998.2931705	1059.492366	1093.215043	949.8480699	1025.435463	1063.577147	434.6549326	446.4728469	494.3922368	527.2312325	476.2901038	483.6240283	2480.005768	2717.785016	2780.99736	2504.301706	1978.045102	2257.517872
Gibberellin A7	C11867	3.354356639	2.556523676	3.138295581	1.999594396	4.035149735	4.710529507	26.73943801	28.75037052	16.55043588	5.84924969	5.183219035	16.97344872	2084.581013	2266.237442	2707.497358	2230.088475	2067.30393	1982.990983
Gibberellin A8-catabolite	C11870	3042.954816	3257.065121	2698.994804	2408.055278	2753.797161	2706.5923	2974.757957	2692.808024	2981.156122	2998.003623	2821.444059	2843.377852	4810.47654	5562.843415	5150.37047	5164.208211	3288.414217	5095.65661
